DNR_GRID_ID,2015CPUE,Lat,Lon
ELKBR207,0.460410557,44.22474,-90.50858
ELKCL040,0.349358974,46.17337,-90.95261
ELKBR187,0.013157895,44.24152,-90.49231
ELKCL014,0.580246914,46.19131,-90.92498
ELKBR069,0.748917749,44.31722,-90.54949
ELKBR121,0.303030303,44.2934,-90.59093
ELKBR001,0.269565217,44.37153,-90.6949
ELKBR005,2.943478261,44.37086,-90.61442
ELKBR053,2.204347826,44.32416,-90.57853
ELKBR062,0.304347826,44.3171,-90.61903
ELKBR082,8.573913043,44.3128,-90.57652
ELKBR085,3.4,44.30985,-90.54836
ELKBR091,0.395652174,44.30127,-90.63106
ELKBR093,0.391304348,44.29927,-90.60605
ELKBR097,2.22173913,44.30309,-90.54843
ELKBR102,1.813043478,44.29776,-90.69657
ELKBR110,2.647826087,44.29715,-90.59638
ELKBR115,0.295652174,44.29549,-90.60922
ELKBR117,2.686956522,44.29409,-90.56695
ELKBR123,0.443478261,44.29355,-90.60145
ELKBR127,0.452173913,44.28824,-90.60918
ELKBR129,0.304347826,44.2879,-90.58806
ELKBR142,3.404347826,44.27995,-90.61945
ELKBR144,0.47826087,44.2812,-90.59985
ELKBR171,1.765217391,44.26646,-90.59978
ELKBR197,0.42173913,44.23935,-90.69255
